Participant,Parent Node,Child Node 1,Child Node 2,Quotes,Summary of Child Node 1,Summary of Child Node 2
FGD-4_P3,Health Impact,Physical Health,Skin diseases,“Many people get rashes. They also become physically ill.”,,
FGD4_P4,Health Impact,Physical Health,Cold,"Cold, cough",,
FGD-4_P4,Health Impact,Physical Health,Skin diseases,"“The sweat causes the rashes, and you end up scratching.”",,
FGD-4_P5,Health Impact,Physical Health,Headache," “You get headaches just walking on the road, people don't stay there.”",,
FGD4_P6,Health Impact,Physical Health,"Diarrhea, Cholera",“Diarrhea happens when it's very hot.”,,
FGD-4_P6,Health Impact,Physical Health,Faint," “I saw someone walking, and suddenly they collapsed. After 10 minutes, they were unresponsive. We rushed them to Dhaka Medical, and they stayed there for a day.”",,
FGD-5_P11,Health Impact,Physical Health,Heat Stroke,“We have had people die from heatstroke here.”,,
FGD-5_P11,Health Impact,Physical Health,Death,“We have had people die from heatstroke here.”,,
FGD5_P5,Health Impact,Physical Health,Breathing Difficulty,“People with breathing issues can’t handle it.”,,
FGD5_P5,Health Impact,Physical Health,Breathing Difficulty,"“Yes, and those with allergies.”",,
FGD5_P8,Health Impact,Physical Health,Cold,People catch colds from sweating. Their bodies itch.,, 
FGD-6_P1,Health Impact,Physical Health,Other diseases," “Due to frequent load shedding in the heat, women mostly stay home and cook, which leads to sweating, causing more problems.”",,
FGD-6_P2,Health Impact,Physical Health,Cold,"Colds, coughs, fevers, and during that time, dengue also becomes more common.",,
FGD-6_P2,Health Impact,Physical Health,"Exhaustion, Tired, Low energy"," “Nowadays, the heat weakens the body. This is why we feel more exhausted now. It’s tiring.”",,
FGD-6_P2,Health Impact,Physical Health,"Exhaustion, Tired, Low energy",“People often feel exhausted in the heat here.”,,
FGD-6_P2,Health Impact,Physical Health,Heat Stroke,“Some even suffer strokes occasionally.”,,
FGD-6_P2,Health Impact,Physical Health,Skin diseases, “Everyone has some level of allergies.”,,
FGD6_P3,Health Impact,Physical Health,Breathing Difficulty,"“When exposed to the heat from cooking, even working for a short while can make someone feel out of breath.”",,
FGD6_P6,Health Impact,Physical Health,Cold,"Fevers, colds, dengue, and coughs are the most common.",,
FGD-6_P6,Health Impact,Physical Health,Faint,“Sometimes they even faint.”,,
FGD-6_P6,Health Impact,Physical Health,Fever," “Fevers, colds, dengue, and coughs are the most common.”",,
FGD-6_P6,Health Impact,Physical Health,Dengue,"“Fevers, colds, dengue, and coughs are the most common.”",,
FGD-6_P6,Health Impact,Physical Health,"Diarrhea, Cholera",“Children and the elderly.”,,
FGD-6_P7,Health Impact,Physical Health,"Nauseous, Feeling Sick, Vomiting","""During this time, many people were suffering from conditions like fever, cold, cough, and vomiting, including staff.”",,
FGD-6_P8,Health Impact,Physical Health,Blood pressure,” And those with high blood pressure face more problems. Heat increases their blood pressure.”,,
FGD-6_P8,Health Impact,Physical Health,Faint," “A few days ago, a woman collapsed in front of that shop over there.”",,
FGD-6_P8,Health Impact,Physical Health,"Diarrhea, Cholera",“These mostly happen to children.”,,
FGD7_P1,Health Impact,Physical Health,Cold,"Kids catch colds from the heat, and it affects their chests.",,
FGD7_P1,Health Impact,Physical Health,"Nauseous, Feeling Sick, Vomiting",Some people vomit.,,
FGD7_P1,Health Impact,Physical Health,Skin diseases,There’s a lot of itching.,,
"FGD7_P1,P3,P7",Health Impact,Physical Health,Dengue," Mosquito bites.Yes, mosquito bites can lead to dengue. Dengue is more common here now.We’ve heard about dengue cases recently, but it hasn’t become widespread yet. Some people have had it, though. Was dengue common in this area before? No, no.",,
FGD7_P10,Health Impact,Physical Health,Faint,"Yes, sir. I’ve fainted in the heat. Sometimes, I get so sick that I need to be rushed to the hospital.",,
FGD7_P10,Health Impact,Physical Health,"Diarrhea, Cholera",My son had diarrhea yesterday because of the heat.,,
FGD7_P10,Health Impact,Physical Health,"Nauseous, Feeling Sick, Vomiting","I feel restless in the heat, like vomiting. I have to drink lemon water. When I’m outside, the heat makes me dizzy.",,
FGD7_P3,Health Impact,Physical Health,Skin diseases,"Look at my hands—they’ve turned black from scratching. Yes, it leaves marks on the skin.",,
FGD7_P4,Health Impact,Physical Health,Skin diseases,"Inside the body, you see bumps, itching, and it’s like there’s nothing there, but you get rashes, turning red.",,
FGD7_P5,Health Impact,Physical Health,Skin diseases,"My husband had this once. His whole body swelled up, and boils started appearing, like rashes.",,
FGD7_P7,Health Impact,Physical Health,Cold,And colds keep happening.,,
FGD7_P7,Health Impact,Physical Health,Faint,"Suddenly, someone in the crowd fainted due to the heat and had a stroke. He passed away on the spot.",,
FGD7_P7,Health Impact,Physical Health,Heat Stroke,"Suddenly, someone in the crowd fainted due to the heat and had a stroke. He passed away on the spot.",,
FGD7_P7,Health Impact,Physical Health,"Diarrhea, Cholera",My son also had it and is now taking saline.,,
FGD7_P7,Health Impact,Physical Health,"Nauseous, Feeling Sick, Vomiting","Kids fall sick, have stomach issues, and vomit",,
FGD7_P7,Health Impact,Physical Health,Other diseases,Children lose their appetite in the heat.,,
FGD7_P9,Health Impact,Physical Health,Dehydration,And they sweat a lot.,,
FGD7_P9,Health Impact,Physical Health,Headache,Headaches happen.,,
FGD7_P9,Health Impact,Physical Health,Skin diseases,"My husband, for instance, gets itchy all over his body.",,
FGD-8_p10,Health Impact,Physical Health,"Nauseous, Feeling Sick, Vomiting","Vomiting doesn’t just happen to kids  adults experience it too. Excessive heat causes discomfort, vomiting, and headaches.",,
FGD-8_P2,Health Impact,Physical Health,"Nauseous, Feeling Sick, Vomiting","Diarrhea, vomiting—when it gets too hot, children tend to vomit more often.",,
FGD-8_P4,Health Impact,Physical Health,Fever,"There’s a feeling of restlessness, or sometimes fever.",,
FGD-8_P4,Health Impact,Physical Health,Skin diseases,Then there’s heat rashes—it’s horrible for the children.Allergies seem to worsen during this time too.,,
FGD8_P5,Health Impact,Physical Health,"Nauseous, Feeling Sick, Vomiting","Diarrhea, vomiting, fever, colds, and coughs—they’re constant issues due to the weather.",,
FGD-8_P5,Health Impact,Physical Health,Faint,"For example, when someone feels dizzy, it’s clear they are struggling. Some move forward, others don't. We give water to those we know, help them drink it, pour water on their heads, and then slowly, when they’re okay, we send them home or ask their family to take them. This has happened a few times.",,
